 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
item_trophy_eikthyr_lore,"Once the king of the forest, the size of the antlers are truly impressive.",,"Autrefois roi de la forêt, la taille de ses bois est très impressionnante.",,Die Größe des Geweihs des einst so stolzen König des Waldes ist wirklich beeindruckend.,"Antaño era el rey de los bosques, y el tamaño de su cornamenta es impresionante.",Размеры рогов бывшего лесного короля действительно впечатляют.,,,,,,,Bir zamanlar ormanın kralı olan bu yaratığın boynuzlarının boyutu gerçekten muazzam.,,,,Wielkość poroża tego dawnego króla lasu jest naprawdę imponująca.,Eens de koning van het woud. De grootte van het gewei is zeer indrukwekkend.,,"Outrora o rei da floresta, o tamanho da galhada é muito impressionante.",作为曾经的森林之王，它角的尺寸着实让人惊叹。 ,かつては森の王であった。 角の大きさには感嘆するしかない。 ,
item_trophy_elder,The Elder trophy,,Trophée de l’Aîné,Trofeo dell'anziano,Der-Uralte-Trophäe,Trofeo del Sabio,Трофей: Древний,,,,,,Öldunga haus,Atabey avı ganimeti,,,Az ősi trófea,Trofeum Starca,De Oudere-trofee,Troféu Ancião,Troféu Ancião,古树长老战利品,長老のトロフィー,장로 트로피
item_trophy_elder_description,"This severed head oozes power.

Offer it to the Sacrificial Stones.",,"Cette tête coupée regorge de puissance.

Offrez-la aux Pierres sacrificielles.",,"Dieser abgetrennte Kopf verströmt eine große Macht.

Bringe diesen Gegenstand bei den Opfersteinen als Opfer dar.","Esta cabeza decapitada exuda poder.

Haz una ofrenda en las piedras de sacrificio.","Эта отрубленная голова источает силу.

Принесите ее к жертвенным камням.",,,,,,,"Bu kesik baştan güç sızıyor.

Onu Kurban Taşları'na adak olarak sun.",,,,"Ta odcięta głowa emanuje mocą.

Złóż w ofierze Kamieniom Ofiarnym.","Dit afgehakte hoofd straalt kracht uit.

Bied het aan als offer bij de Offerstenen.",,"Esta cabeça decepada exala poder.

Ofereça às pedras de sacrifício.","这干瘪的头颅上的死去的皮感觉非常沉重。 


向祭坛献祭。 ","切り落とされたこの首はパワーを発している。 

犠牲の石に捧げよう。 ",
item_trophy_elder_lore,"Even in death, it seems to grin with secret knowledge.",Även död tycks den flina med hemlig kunskap.,"Même dans la mort, il a l'air de sourire avec des connaissances secrètes.","Persino nella morte, sembra sorridere con una conoscenza segreta.","Selbst im Tode scheint es noch über Sachen zu grinsen, die nur es weiß.","Aún tras la muerte, parece sonreír guardándose su sabiduría.","Даже смерть не смогла стереть с его лица таинственную, всезнающую ухмылку.",,,"Дури и во смрт, уште се смешка со своето тајно знаење.",,,"Jafnvel í dauða, það virðist glotta eins og leyndardómur sé en þeirra.",Ölüyken bile taşıdığı gizli irfanla sırıtıyor gibi görünüyor.,,,A halála után is mintha titkos tudás vigyora terülne el az arcán.,"Nawet po śmierci wydaje się uśmiechać tak, jakby posiadał jakąś tajemną wiedzę.",Zelfs dood lijkt de grijns een geheime kennis uit te stralen.,"Mesmo na morte, ele parece sorrir com conhecimento secreto.","Mesmo na morte, todo o conhecimento secreto parece fazê-lo sorrir.",虽然它已经死亡，但好像在咧着嘴笑，倾吐着各种奥秘。 ,死して尚、秘密の知識を隠してほくそ笑んでいるように見える。 ,사후에도 비밀스러운 지식으로 음흉한 미소를 짓고 있는 것 같습니다.
item_trophy_bonemass,Bonemass trophy,,Trophée de Masse-d’Os,Trofeo d'ossa,Knochenwanst-Trophäe,Trofeo de Tuétano,Трофей: Масса костей,,,,,,Beinmassa leifar,Kütlekemik avı ganimeti,,,Csonttömeg trófea,Trofeum kościomasy,Bottenmassatrofee,Troféu Massa Óssea,Troféu Massa Óssea,邪骨恶灵战利品,大骨のトロフィー,골수 트로피
item_trophy_bonemass_description,"Bones and viscous goo, held together by some unseen force.

Offer it to the Sacrificial Stones.",,"Des os et une substance visqueuse, maintenus ensemble par une force invisible.

Offrez-la aux Pierres sacrificielles.",,"Knochen und zähflüssiger Schleim. Wird durch eine nicht sichtbare Kraft zusammengehalten.

Bringe diesen Gegenstand bei den Opfersteinen als Opfer dar.","Estos huesos y esta masa viscosa se mantienen unidos por una fuerza intangible.

Haz una ofrenda en las piedras de sacrificio.","Кости и вязкая слизь, удерживаемые какой-то невидимой силой.

Принесите их к жертвенным камням.",,,,,,,"Görünmeyen bir güç tarafından bir arada tutulan kemik ve yapışkan madde yığını.

Onu Kurban Taşları'na adak olarak sun.",,,,"Kości i lepka maź spojone przez niewidzialną siłę.

Złóż w ofierze Kamieniom Ofiarnym.","Beenderen en kleverige drab die bijeen wordt gehouden door een ongeziene kracht.

Bied het aan als offer bij de Offerstenen.",,"Ossos e gosma viscosa, unidos por uma força invisível.

Ofereça às pedras de sacrifício.","骨头和黏糊糊的不明物，被一股无形的力量绑在了一起。 

向祭坛献祭。 ","骨と粘液が、目に見えぬ力によって一つにされている。 

犠牲の石に捧げよう。 ",
item_trophy_bonemass_lore,"A mess of black soil and old bone, thankfully quiet now.","En blandning av svart jord och ben, tacksamt tyst nu.",Un tas de terre noire et de vieux os heureusement réduit au silence.,"Un ammasso di terra nera e vecchie ossa, per fortuna al riposo per ora.",Ein Gewirr aus schwarzer Erde und alten Knochen aus dem zum Glück das Leben entwichen ist.,"Un montón de tierra y huesos viejos. Por suerte, ya está en silencio.","Месиво из грязи и старых костей, хорошо, что больше не шевелится.","O gramada de pamant negru si oase vechi, din fericire linistite acum",,Куп од земја и коски.,,,"Óreiða af svörtum jarðvegi og gömlum beinum, sem betur fer kyrrstætt.",Kara topraktan ve eski kemiklerden ibaret bir yığın. Neyse ki artık sessiz.,,,"Fekete föld és régi csont keveréke, szerencsére már elcsendesült.","Sterta czarnej ziemi i starych kości, na szczęście już nieruchomych.",Een zootje zwarte grond en oude beenderen die nu gelukkig stil zijn.,"Uma mistura de terra preta e ossos velhos que, por sorte, neste momento está sossegada.","Uma mistura de terra preta e ossos velhos que, por sorte, está sossegada agora.",由黑土和古老骨头随意组成，谢天谢地，现在已经安歇。 ,黒土と古い骨をごちゃ混ぜにしたもの、ありがたいことに今は静か。 ,"검은 흙과 낡은 뼈로 엉망진창이 되어 있지만, 다행히 지금은 조용합니다."
item_trophy_dragonqueen,Moder trophy,,Trophée de Moder,,Moder-Trophäe,Trofeo de Moder,Трофей: Моудер,,,,,,,Moder avı ganimeti,,,,Trofeum Modery,Modertrofee,,Troféu Moder,冰霜龙母战利品,モデルのトロフィー,
item_trophy_dragonqueen_description,"The head of a dragon, majestic even in the rigor of death.

Offer it to the Sacrificial Stones.",,"La tête d'un dragon, majestueux jusque dans la mort.

Offrez-la aux Pierres sacrificielles.",,"Der Kopf eines Drachen, der sogar im Tod majestätisch wirkt.

Bringe diesen Gegenstand bei den Opfersteinen als Opfer dar.","Cabeza de una dragona que no ha perdido ni un ápice de majestuosidad tras la muerte.

Haz una ofrenda en las piedras de sacrificio.","Голова дракона, величественная даже после смерти.

Принесите ее к жертвенным камням.",,,,,,,"Ölümden sonra bile haşmetini koruyan bir ejderha başı.

Onu Kurban Taşları'na adak olarak sun.",,,,"Głowa smoka, majestatyczna nawet po śmierci.

Złóż w ofierze Kamieniom Ofiarnym.","Een drakenkop die zelf in de dood nog iets majesteitelijks uitstraalt.

Bied het aan als offer bij de Offerstenen.",,"Uma cabeça de dragão, majestosa mesmo nos rigores da morte.

Ofereça às pedras de sacrifício.","一条龙的头，即使它已经死去，但还是威严耸立。 

向祭坛献祭。 ","ドラゴンの頭。 死の苦しみにあっても壮大である。 

犠牲の石に捧げよう。 ",
item_trophy_dragonqueen_lore,"Scored with ancient scars, this head was the last sight of countless warriors.",,"Couturée d'anciennes cicatrices, cette tête a été la dernière vision de bien des guerriers.",,"Voller uralter Narben, war dieser Kopf das Letzte, was zahlreiche Krieger zu Gesicht bekamen.","Esta cabeza, que está llena de cicatrices ancestrales, fue lo último que vio un sinfín de guerreros.","Эта голова, покрытая старыми шрамами, была последним, что увидели многие воины.",,,,,,,"Kadim yara izleriyle kaplı bu baş, sayısız savaşçının gördüğü son şey oldu.",,,,"Ta głowa, naznaczona bardzo starymi bliznami, była synonimem śmierci dla niezliczonych wojowników.",Bedekt met oeroude littekens was dit hoofd het laatste wat talloze krijgers vlak voor hun dood zagen.,,"Cheia de cicatrizes, esta cabeça foi a última visão de incontáveis guerreiros.",数不尽的古老伤疤，诉说着千千万万个战士的故事。 ,数々の古傷に彩られたこの頭は、無数の戦士たちが最後に見たものとなった。 ,
item_trophy_goblinking,Yagluth trophy,,Trophée de Yagluth,,Yagluth-Trophäe,Trofeo de Yagluth,Трофей: Яглут,,,,,,,Yagluth avı ganimeti,,,,Trofeum Yaglutha,Yagluthtrofee,,Troféu Yagluth,亚格鲁斯战利品,ヤグルスのトロフィー,
item_trophy_goblinking_description,The crownless head of a dead king.,,La tête nue d'un roi mort.,,Der ungekrönte Kopf eines toten Königs.,La cabeza sin corona de un rey muerto.,Голова мертвого короля.,,,,,,,Ölü bir kralın taçsız başı.,,,,Głowa martwego króla bez korony.,Het kroonloze hoofd van een dode koning.,,A cabeça sem coroa de um rei morto.,死王的未冕之首。 ,死せる王の冠のない頭。 ,
item_trophy_goblinking_lore,"Sometimes, the eyes still move and the lips mutter silently...",,"Parfois, ses yeux bougent encore et ses lèvres articulent sans bruit.",,"Manchmal bewegen sich die Augen noch immer und die Lippen fangen an, still zu flüstern …","A veces, los ojos se mueven y los labios murmuran en silencio…","Иногда его глаза двигаются, а губы тихо бормочут что-то...",,,,,,,Kimi zaman gözleri hâlâ kıpırdayıp dudakları sessizce bir şeyler fısıldıyor...,,,,"Czasem oczy wciąż się poruszają, a usta cicho mruczą...","Soms bewegen de ogen nog steeds, en fluisteren de lippen stil…",,"Às vezes, os olhos se movem e os lábios murmuram em silêncio…",有时候他的眼睛会动，有时候他会喃喃自语...,時々、その目が動き、唇が静かに何かをつぶやく...,
item_trophy_boar,Boar trophy,,Trophée de sanglier,,Wildschwein-Trophäe,Trofeo de jabalí,Трофей: кабан,,,,,,,Domuz avı ganimeti,,,,Trofeum dzika,Zwijntrofee,,Troféu Javali,鬓猪战利品,猪のトロフィー,
item_trophy_boar_description,This boar head would make for a nice decoration in any house.,,Cette tête de sanglier sera parfaite pour décorer une maison.,,Dieser Wildschweinkopf würde sicher eine feine Dekoration für ein Haus abgeben.,Esta cabeza de jabalí quedaría bonita de decoración en cualquier casa.,Эта голова кабана станет красивым украшением любого дома.,,,,,,,Bu domuz başı her türlü ev için harika bir dekorasyon malzemesi olur.,,,,Ta głowa dzika byłaby piękną dekoracją w każdym domostwie.,Deze zwijnskop is voor ieder huis een mooie versiering.,,Esta cabeça de javali daria uma bela decoração para qualquer casa.,这个鬓猪战利品在任何房间里都会是一个不错的装饰品。 ,この猪の頭は、どの家に置いてもすばらしい装飾となる。 ,
item_trophy_boar_lore,This boar head would make for a nice decoration in any house.,,Cette tête de sanglier sera parfaite pour décorer une maison.,,Dieser Wildschweinkopf würde sicher eine feine Dekoration für ein Haus abgeben.,Esta cabeza de jabalí quedaría bonita de decoración en cualquier casa.,Эта голова кабана станет красивым украшением любого дома.,,,,,,,Bu domuz başı her türlü ev için harika bir dekorasyon malzemesi olur.,,,,Ta głowa dzika byłaby piękną dekoracją w każdym domostwie.,Deze zwijnskop is voor ieder huis een mooie versiering.,,Esta cabeça de javali daria uma bela decoração para qualquer casa.,"这个鬓猪战利品在任何房间里都会是一个不错的装
饰品。 ",この猪の頭は、どの家に置いてもすばらしい装飾となる。 ,
item_trophy_neck,Neck trophy,,Trophée de Nixe,,Nixen-Trophäe,Trofeo de nixe,Трофей: никс,,,,,,,Nek avı ganimeti,,,,Trofeum niksy,Nekkertrofee,,Troféu Nixe,蜥蜴精战利品,ネックのトロフィー,
item_trophy_neck_description,The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.,,Ses yeux globuleux et ses dents acérées contrastent avec la nature excessivement calme de ce petit lézard.,,Die perlenartigen Augen und scharfen Klauen täuschen über die angeblich so friedvolle Natur dieser kleinen Echse hinweg.,Esos ojos diminutos y esos dientes afilados contradicen la naturaleza tranquila de este pequeño lagarto.,Блестящие глаза и острые как бритва зубы противоречат якобы спокойному характеру этой маленькой ящерицы.,,,,,,,"Parlak gözler ve ustura keskinliğindeki dişler, bu küçük kertenkelenin sakin görünen tabiatıyla zıt düşüyor.",,,,Paciorkowate oczy i ostre jak brzytwa zęby stanowią zaprzeczenie pozornie spokojnej natury tej małej jaszczurki.,De kraaloogjes en messenscherpe tanden zijn geen goede uitdrukking van de doorgaans kalme natuur van deze kleine hagedis.,,Os olhos arredondados e os dentes afiados traem a natureza aparentemente calma deste pequeno lagarto.,泛着珠光的眼睛和锋利的牙齿掩盖了这种小蜥蜴表面上平静的特质。 ,小さな目と鋭い歯は、この小さなトカゲの表面的にはおとなしい性質を暴き出している。 ,
item_trophy_neck_lore,The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.,,Ses yeux globuleux et ses dents acérées contrastent avec la nature excessivement calme de ce petit lézard.,,Die perlenartigen Augen und scharfen Klauen täuschen über die angeblich so friedvolle Natur dieser kleinen Echse hinweg.,Esos ojos diminutos y esos dientes afilados contradicen la naturaleza tranquila de este pequeño lagarto.,Блестящие глаза и острые как бритва зубы противоречат якобы спокойному характеру этой маленькой ящерицы.,,,,,,,"Parlak gözler ve ustura keskinliğindeki dişler, bu küçük kertenkelenin sakin görünen tabiatıyla zıt düşüyor.",,,,Paciorkowate oczy i ostre jak brzytwa zęby stanowią zaprzeczenie pozornie spokojnej natury tej małej jaszczurki.,De kraaloogjes en messenscherpe tanden zijn geen goede uitdrukking van de doorgaans kalme natuur van deze kleine hagedis.,,Os olhos arredondados e os dentes afiados traem a natureza aparentemente calma deste pequeno lagarto.,泛着珠光的眼睛和锋利的牙齿掩盖了这种小蜥蜴表面上平静的特质。 ,小さな目と鋭い歯は、この小さなトカゲの表面的にはおとなしい性質を暴き出している。 ,
item_trophy_deer,Deer trophy,,Trophée de cerf,Trofeo di cervo,Hirsch-Trophäe,Trofeo de ciervo,Трофей: олень,,,,,,Dádýrs haus,Geyik avı ganimeti,,,Szarvastrófea,Trofeum jelenia,Herttrofee,Troféu Veado,Troféu Cervo,鹿战利品,鹿のトロフィー,사슴 트로피
item_trophy_deer_description,A fine specimen but you'll need to kill more than deer to enter Valhalla.,"Ett fint exemplar, men du behöver döda mer än rådjur för att komma in i Valhalla.","Un joli spécimen, mais vous devrez tuer plus que des cerfs pour entrer au Valhalla.",Un bell'esemplare ma avrai bisogno di uccidere molto più che cervi per entrare in Valhalla.,"Ein wahres Prachtexemplar, aber du musst mehr als nur Hirsche töten, um nach Walhalla zu kommen.","Es un buen espécimen, pero tendrás que matar más que ciervos si quieres entrar al Valhalla.","Великолепное животное, но убийство простого оленя не откроет вам врата в Вальгаллу.","Un specimen bun, dar vei avea nevoie de mai mult decat caprioare pentru a intra in Valhalla",,"Добар пример, но ќе треба да убиеш повеќе од срна за да влезеш во Валхала.",,,"Fínasta eintak, en þú þarft að drepa meira en dádýr til að komast inn í Valhöll.",Avdaki hünerlerine iyi bir örnek olsa da Valhalla'ya girmek için geyikten fazlasını öldürmen gerekecek.,,,"Szép példány, de egy szarvas megölésénél többre lesz szükséged, hogy belépj Valhallába.","Niezły okaz, lecz by dostać się do Walhalli, zabicie jelenia nie wystarczy.","Een mooi exemplaar, maar je zult meer moeten doden dan alleen een hert om Walhalla in te mogen.","Um belo espécime, mas para entrar em Valhalla tens de matar mais do que veados.","Um belo espécime, mas é preciso matar mais do que cervos para entrar em Valhalla.",优良的物种，但你如果只杀鹿是不能进入瓦尔哈拉的。 ,見事な標本だが、鹿を殺した程度ではヴァルハラには入れない。 ,좋은 표본이지만 사슴을 처치하는 정도로는 발할라에 들어갈 수 없습니다.
item_trophy_deer_lore,A fine specimen but you'll need to kill more than deer to enter Valhalla.,"Ett fint exemplar, men du behöver döda mer än rådjur för att komma in i Valhalla.","Un joli spécimen, mais vous devrez tuer plus que des cerfs pour entrer au Valhalla.",Un bell'esemplare ma avrai bisogno di uccidere molto più che cervi per entrare in Valhalla.,"Ein wahres Prachtexemplar, aber du musst mehr als nur Hirsche töten, um nach Walhalla zu kommen.","Es un buen espécimen, pero tendrás que matar más que ciervos si quieres entrar al Valhalla.","Великолепное животное, но убийство простого оленя не откроет вам врата в Вальгаллу.","Un specimen bun, dar vei avea nevoie de mai mult decat caprioare pentru a intra in Valhalla",,"Добар пример, но ќе треба да убиеш повеќе од срна за да влезеш во Валхала.",,,"Fínasta eintak, en þú þarft að drepa meira en dádýr til að komast inn í Valhöll.",Avdaki hünerlerine iyi bir örnek olsa da Valhalla'ya girmek için geyikten fazlasını öldürmen gerekecek.,,,"Szép példány, de egy szarvas megölésénél többre lesz szükséged, hogy belépj Valhallába.","Niezły okaz, lecz by dostać się do Walhalli, zabicie jelenia nie wystarczy.","Een mooi exemplaar, maar je zult meer moeten doden dan alleen een hert om Walhalla in te mogen.","Um belo espécime, mas para entrar em Valhalla tens de matar mais do que veados.","Um belo espécime, mas é preciso matar mais do que cervos para entrar em Valhalla.",优良的物种，但你如果只杀鹿是不能进入瓦尔哈拉的。 ,見事な標本だが、鹿を殺した程度ではヴァルハラには入れない。 ,좋은 표본이지만 사슴을 처치하는 정도로는 발할라에 들어갈 수 없습니다.
item_trophy_greydwarf,Greydwarf trophy,,Trophée de Naingris,Trofeo del nano grigio,Grauzwergen-Trophäe,Trofeo de enanogrís,Трофей: грейдворф,,,,,,Grádvergs haus,Bozcüce avı ganimeti,,,Szürketörp trófea,Trofeum szarego krasnoluda,Grijze dwergtrofee,Troféu Anão Cinzento,Troféu Anão Cinzento,灰矮人战利品,灰色ドワーフのトロフィー,그레이드워프 트로피
item_trophy_greydwarf_description,"The mossy, severed head of a Greydwarf.","Det mossiga, avkapade huvudet från en Greydwarf.",La tête moussue et tranchée d’un Naingris.,La testa mozzata e muschiata di un nano grigio,"Ein moosbewachsener, abgetrennter Kopf eines Grauzwergs",La cabeza cortada y musgosa de un enanogrís.,"Отрубленная голова грейдворфа, покрытая мхом.",Capul,,Пресечената глава на џуџе уште има мов.,,,Mosugur haus af líkama grádvergs,Bir Bozcüce'nin yosunlu kesik başı.,,,"Egy szürketörp mohás, levágott feje.","Pokryta mchem, odcięta głowa szarego krasnoluda.","Het mossige, afgehakte hoofd van een Grijze dwerg.","A cabeça de um Anão Cinzento, coberta de musgo.",A cabeça coberta de musgo de um Anão Cinzento.,灰矮人被砍掉的头颅，长满了苔藓。 ,灰色ドワーフの苔むした生首。 ,이끼로 뒤덮인 그레이드워프의 잘린 머리입니다.
item_trophy_greydwarf_lore,"The mossy, severed head of a Greydwarf.","Det mossiga, avkapade huvudet från en Greydwarf.",La tête moussue et tranchée d’un Naingris.,La testa mozzata e muschiata di un nano grigio,"Ein moosbewachsener, abgetrennter Kopf eines Grauzwergs",La cabeza cortada y musgosa de un enanogrís.,"Отрубленная голова грейдворфа, покрытая мхом.",Capul,,Пресечената глава на џуџе уште има мов.,,,Mosugur haus af líkama grádvergs,Bir Bozcüce'nin yosunlu kesik başı.,,,"Egy szürketörp mohás, levágott feje.","Pokryta mchem, odcięta głowa szarego krasnoluda.","Het mossige, afgehakte hoofd van een Grijze dwerg.","A cabeça de um Anão Cinzento, coberta de musgo.",A cabeça coberta de musgo de um Anão Cinzento.,灰矮人被砍掉的头颅，长满了苔藓。 ,灰色ドワーフの苔むした生首。 ,이끼로 뒤덮인 그레이드워프의 잘린 머리입니다.
item_trophy_greydwarfbrute,Greydwarf Brute trophy,,Trophée de brute Naingris,Trofeo della bestia dei nani grigi,Grauzwergengrobrian-Trophäe,Trofeo de enanogrís bárbaro,Трофей: грейдворф-дикарь,,,,,,Grádvergs Skepnu haus,Vahşi Bozcüce avı ganimeti,,,Szürketörp behemót trófea,Trofeum szarego krasnoluda dzikusa,Grijze dwergbruuttrofee,Troféu Anão Cinzento Bruto,Troféu Anão Cinzento Bruto,灰矮人暴徒战利品,灰色ドワーフの暴漢のトロフィー,그레이드워프 투사 트로피
item_trophy_greydwarfbrute_description,It took seven blows to hack this gnarled head from its body.,Det krävdes sju slag för att hacka loss detta knotiga huvud från sin kropp.,7 coups auront été nécessaires pour ôter cette tête nouée à son corps.,Ci sono voluti sette colpi per separare questa testa nodosa dal suo corpo.,"Es benötigte sieben Schläge, um den knorrigen Kopf von seinen Schultern zu trennen.",Hicieron falta siete golpes para arrancarle esa cabeza retorcida del cuerpo.,Отсечь эту голову оказалось делом не из легких - потребовалось без малого семь ударов.,,,Ми требаа седум удари за да ја пресечам главата.,,,Það tók sjö högg til þess að kljúfa haus af líkamanum.,Bu boğumlu başı gövdesinden ayırmak için yedi darbe indirmen gerekti.,,,Hét csapásba telt elválasztani ezt az eldeformált fejet a testétől.,"Trzeba było siedmiu uderzeń, by odciąć tę wykrzywioną głowę od reszty ciała.",Het koste zeven slagen om dit knoestige hoofd van het lichaam te scheiden.,Foram precisos sete golpes para separar esta cabeça deformada do resto do corpo.,Foram necessários sete golpes para separar esta cabeça deformada do resto do corpo.,足足砍了七下，才从身体上砍下这颗扭曲的头颅。 ,このゴツゴツした生首を胴体から切り離すには7回も叩き切る必要があった。 ,무기를 일곱 번이나 휘두른 끝에 이 쭈글쭈글한 머리를 잘라낼 수 있었습니다.
item_trophy_greydwarfbrute_lore,It took seven blows to hack this gnarled head from its body.,Det krävdes sju slag för att hacka loss detta knotiga huvud från sin kropp.,7 coups auront été nécessaires pour ôter cette tête nouée à son corps.,Ci sono voluti sette colpi per separare questa testa nodosa dal suo corpo.,"Es benötigte sieben Schläge, um den knorrigen Kopf von seinen Schultern zu trennen.",Hicieron falta siete golpes para arrancarle esa cabeza retorcida del cuerpo.,Отсечь эту голову оказалось делом не из легких - потребовалось без малого семь ударов.,,,Ми требаа седум удари за да ја пресечам главата.,,,Það tók sjö högg til þess að kljúfa haus af líkamanum.,Bu boğumlu başı gövdesinden ayırmak için yedi darbe indirmen gerekti.,,,Hét csapásba telt elválasztani ezt az eldeformált fejet a testétől.,"Trzeba było siedmiu uderzeń, by odciąć tę wykrzywioną głowę od reszty ciała.",Het koste zeven slagen om dit knoestige hoofd van het lichaam te scheiden.,Foram precisos sete golpes para separar esta cabeça deformada do resto do corpo.,Foram necessários sete golpes para separar esta cabeça deformada do resto do corpo.,足足砍了七下，才从身体上砍下这颗扭曲的头颅。 ,このゴツゴツした生首を胴体から切り離すには7回も叩き切る必要があった。 ,무기를 일곱 번이나 휘두른 끝에 이 쭈글쭈글한 머리를 잘라낼 수 있었습니다.
item_trophy_greydwarfshaman,Greydwarf Shaman trophy,,Trophée de chaman Naingris,Trofeo dello sciamano dei nani grigi,Grauzwergenschamanen-Trophäe,Trofeo del enanogrís chamán,Трофей: грейдворф-шаман,,,,,,Grádverg Töfralæknis haus,Şaman Bozcüce avı ganimeti,,,Szürketörp sámán trófea,Trofeum szarego krasnoluda szamana,Grijze dwergsjamaantrofee,Troféu Anão Cinzento Xamã,Troféu Anão Cinzento Xamã,灰矮人萨满战利品,灰色ドワーフのシャーマンのトロフィー,그레이드워프 주술사 트로피
item_trophy_greydwarfshaman_description,It may try to come back so be sure to prune any new shoots...,"Den kan försöka komma tillbaka, så va va noga med att beskära alla nya skott.","Il pourrait essayer de revenir, alors taillez bien vos nouvelles pousses...",Potrebbe provare a tornare in vita quindi assicurati di esser pronto a colpirla di nuovo se necessario...,Es kann versuchen sich wieder zum Leben zu erwecken. Schneide jeden neuen Trieb augenblicklich ab.,"Podría regresar, así que no te olvides de cortar los brotes...","Эти твари способны возвращаться из мертвых, так что если заметите новые побеги, смело их отсекайте…",,,"Можеби ќе се обиде да се врати, затоа биди спремен за уште...",,,Það mun reyna að koma aftur svo vertu viss um að eyðileggja allar rætur sem gætu sprottið upp,"Geri dönmeye kalkabilir, bu yüzden yeni filizleri budamayı ihmal etme...",,,"Még megpróbálhat visszatérni az életbe, szóval ne felejtsd el lenyesni az esetleges sarjakat...","Może próbować wrócić, więc pamiętaj o przycięciu wszelkich nowych pędów...","Het kan terugkomen, dus zorg dat je nieuwe scheuten bijtijds verwijdert…","Ele pode tentar voltar, por isso não te esqueças de cortar quaisquer novos rebentos...","Ele pode tentar voltar, por isso não se esqueça de cortar qualquer broto novo que aparecer...",它可能会回来，注意修剪新枝……,万が一にも蘇らないよう、時々新芽を摘み取りに来た方がいいだろう…,되살아날지도 모르니 잊지 말고 새싹을 전부 잘라내세요.
item_trophy_greydwarfshaman_lore,It may try to come back so be sure to prune any new shoots...,"Den kan försöka komma tillbaka, så va va noga med att beskära alla nya skott.","Il pourrait essayer de revenir, alors taillez bien vos nouvelles pousses...",Potrebbe provare a tornare in vita quindi assicurati di esser pronto a colpirla di nuovo se necessario...,Es kann versuchen sich wieder zum Leben zu erwecken. Schneide jeden neuen Trieb augenblicklich ab.,"Podría regresar, así que no te olvides de cortar los brotes...","Эти твари способны возвращаться из мертвых, так что если заметите новые побеги, смело их отсекайте…",,,"Можеби ќе се обиде да се врати, затоа биди спремен за уште...",,,Það mun reyna að koma aftur svo vertu viss um að eyðileggja allar rætur sem gætu sprottið upp,"Geri dönmeye kalkabilir, bu yüzden yeni filizleri budamayı ihmal etme...",,,"Még megpróbálhat visszatérni az életbe, szóval ne felejtsd el lenyesni az esetleges sarjakat...","Może próbować wrócić, więc pamiętaj o przycięciu wszelkich nowych pędów...","Het kan terugkomen, dus zorg dat je nieuwe scheuten bijtijds verwijdert…","Ele pode tentar voltar, por isso não te esqueças de cortar quaisquer novos rebentos...","Ele pode tentar voltar, por isso não se esqueça de cortar qualquer broto novo que aparecer...",它可能会回来，注意修剪新枝……,万が一にも蘇らないよう、時々新芽を摘み取りに来た方がいいだろう…,되살아날지도 모르니 잊지 말고 새싹을 전부 잘라내세요.
item_trophy_foresttroll,Forest Troll trophy,,Trophée de troll de la forêt,Trofeo del troll della foresta,Waldtroll-Trophäe,Trofeo del trol forestal,Трофей: лесной тролль,,,,,,Skógartrölla haus,Orman Trolü avı ganimeti,,,Erdei troll trófea,Trofeum leśnego trolla,Bostroltrofee,Troféu Troll da Floresta,Troféu Troll da Floresta,森林巨魔战利品,森のトロルのトロフィー,숲 트롤 트로피
item_trophy_foresttroll_description,The leathery skin bears the faded tracery of ancient symbols.,Den läderaktiga huden bär spår från uråldriga symboler.,D’anciens symboles ternis par le temps ornent cette peau coriace.,La pelle coriacea porta i segni sbiaditi dei simboli antichi.,Die ledrige Haut trägt die Überreste uralter Symbole.,La piel de cuero cuenta con una tracería apenas visible de símbolos ancestrales.,На грубой коже едва различимы какие-то древние символы.,Pielea carpita are semne antice pe ea,,Има некакви симболи по кожата.,,,Leðurkenda húðin ber ummerki á sér af gömlum táknum.,"Trolün kösele gibi derisi, kadim sembollerin solmuş izlerini taşıyor.",,,A bőr ősi szimbólumok megfakult körvonalát viseli magán.,Szorstka skóra nosi ślady maswerków ze starożytnymi symbolami.,De leerachtige huid bevat vervaagde sporen van oeroude symbolen.,A pele semelhante a couro com sinais desvanecidos de símbolos antigos.,A pele curtida exibe traços de símbolos antigos esmaecidos.,皮革般的皮肤上隐约可现古老印记的痕迹。 ,革のような肌には古代の紋章の消えかけた痕跡が並んでいる。 ,가죽 같은 피부에는 흐릿해진 고대의 기호가 남아 있습니다.
